,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
0,0,0,0.0,-10.444223265134907,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,4
1,1,0,0.019102461889729107,-10.4442232651353,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
2,1,0,0.0,-9.952729045690548,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
3,1,1,0.002775570807033669,-9.706981935968503,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
4,1,1,0.005066267189170967,-5.818620561431772,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
5,1,3,0.10335301675604788,47.32525436465687,4,一线城市,249.0,62001.0,1,0,0,0,0,1,0,4
6,1,0,0.0,-9.952729045690658,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
7,1,0,0.025924426456826646,-6.354086114477229,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
8,0,0,0.0,-9.303051431143068,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
9,0,0,0.009291944408989929,-10.44422326513496,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
10,1,0,0.03198147222142455,-7.337074553365848,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,4
11,1,0,0.006885808715524482,-8.75064184396315,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,4
12,0,3,0.15788248001382507,-10.44422326513496,5,一线城市,47.0,2209.0,1,0,0,0,0,0,1,4
13,1,11,0.03733635006543014,-7.1788911582625605,4,二线城市,255.0,65025.0,0,1,0,0,0,1,0,4
14,1,4,0.00896818620806779,-9.461234826246352,4,二线城市,42.0,1764.0,0,1,0,0,0,1,0,4
15,0,5,0.21203853860569719,-9.23243175065865,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
16,0,0,0.026341663917731146,-10.198476155412811,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,4
17,1,0,0.02799659993150656,-7.083708769674601,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
18,0,0,0.0853164940726651,-10.198476155412811,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,4
19,0,0,0.012813266211853148,-9.487883173129608,4,其他,0.0,0.0,0,0,0,0,0,1,0,4
20,1,0,0.02002199860318973,-10.44422326513496,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
21,0,0,0.0,-10.198476155412811,0,其他,0.0,0.0,0,0,0,0,0,0,0,4
22,0,0,0.01763579698403195,-10.040292760309525,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,4
23,1,0,0.0,-10.44422326513496,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,4
24,1,0,0.02755687143865452,-6.468298175979361,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,4
25,1,0,0.17518635384385298,-8.478246387357736,5,其他,0.0,0.0,0,0,0,0,0,0,1,4
26,1,1,0.03269062622180541,-4.4240829437486315,5,一线城市,42.0,1764.0,1,0,0,0,0,0,1,4
