,医生有无简介,总文章数,log(IST),患者满意度,profession_encoding,城市等级,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
0,0,0,0.0,-10.09770803572825,2,一线城市,0.0,0.0,1,0,0,1,0,0,0,1
1,1,0,0.06081908679576914,-8.637092154706428,1,二线城市,0.0,0.0,0,1,1,0,0,0,0,1
2,1,0,0.02018593256822366,-10.097708035728171,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
3,1,0,0.0,-9.630767103027768,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
4,1,1,0.0028217322093524737,-9.397296636677558,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
5,1,1,0.0053899747241971,-5.661452318201878,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
6,1,3,0.11040338457834478,47.09310159000423,4,一线城市,249.0,62001.0,1,0,0,0,0,1,0,1
7,1,0,0.0,-9.864237569377984,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
8,1,0,0.026461536501707246,-6.215548799489447,4,一线城市,0.0,0.0,1,0,0,0,0,1,0,1
9,0,0,0.0,-9.250664862042228,5,其他,0.0,0.0,0,0,0,0,0,0,1,1
10,0,0,0.009471497172726315,-10.097708035728198,4,其他,0.0,0.0,0,0,0,0,0,1,0,1
11,1,0,0.033262927786186884,-7.149430664890309,5,一线城市,0.0,0.0,1,0,0,0,0,0,1,1
12,1,0,0.0,-8.436052305610003,5,二线城市,0.0,0.0,0,1,0,0,0,0,1,1
13,0,3,0.2815787974652464,-10.097708035728198,5,一线城市,47.0,2209.0,1,0,0,0,0,0,1,1
14,1,11,0.03886527228440368,-7.002798890254981,4,二线城市,255.0,65025.0,0,1,0,0,0,1,0,1
15,1,4,0.009165793673315643,-9.163826170327345,4,二线城市,42.0,1764.0,0,1,0,0,0,1,0,1
16,0,3,0.1408441405842465,-8.957401312771566,2,二线城市,0.0,0.0,0,1,0,1,0,0,0,1
17,0,0,0.03335699566545214,-9.864237569377984,0,二线城市,0.0,0.0,0,1,0,0,0,0,0,1
18,1,0,0.031092133738803457,-6.74703410982511,4,二线城市,0.0,0.0,0,1,0,0,0,1,0,1
19,0,0,0.03402370846658425,-9.864237569377984,0,一线城市,0.0,0.0,1,0,0,0,0,0,0,1
