,医生职称,医生所在城市,医生有无简介,总文章数,医生欢迎词,IST0_1erke,log(IST),患者满意度,城市等级,欢迎词字数,字数平方,profession_encoding,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
0,主治医师,北京,1,0,儿童强，中国强！                        儿科大夫的使命：让每个儿童拥有良好的开端，美好的未来！,1.0,0.6931471805599453,-9.136463704660787,一线城市,59.0,3481.0,2,1,0,0,1,0,0,0
4,副主任医师,北京,1,0,0,0.613790149,0.4785855421875879,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
9,住院医师,广州,0,0,0,0.4615317920000001,0.37948505832607055,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
10,住院医师,上海,1,0,0,0.438445261,0.3635628504526262,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
14,住院医师,上海,1,0,0,0.386396427,0.3267078822376349,-8.69688523762691,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
15,主治医师,北京,1,0,0,0.34873744,0.2991689252206194,-9.864237569377982,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
16,住院医师,广州,1,1,0,0.344252399,0.2958380213443321,-8.989831930025316,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
18,主任医师 副教授,深圳,0,3,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.32522038600000003,0.28157877466364545,-10.097708035728196,一线城市,47.0,2209.0,5,1,0,0,0,0,0,1
19,副主任医师,上海,0,0,0,0.320705501,0.2781660642743632,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
21,主治医师,北京,1,0,0,0.304873121,0.26610581076061585,-7.762686515353803,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
28,主治医师,广州,1,0,"满意的笑容即是最大的鼓励                        专注:1.药物注射治疗及微创手术治疗痔疮等肛肠疾病;2.腹腔镜微创治疗小儿疝气及鞘膜积液;3.微创手术治疗男性精索静脉曲张,隐睾,性功能障碍,前列腺增生,包茎及包皮过长等男性生殖系统疾病;4.微创手术治疗膀胱结石,输尿管中下段结石,排尿异常...等泌尿系统疾病.                                        展开 >>                 收起 <<",0.242351116,0.2170056456519776,-8.870562621056685,一线城市,234.0,54756.0,2,1,0,0,1,0,0,0
30,主治医师,上海,0,4,0,0.239305031,0.2145507636301973,-6.8885977328733885,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
31,主任医师 教授,北京,1,5,你若安好便是晴天                        当今社会一个家庭一般只有一个孩子，孩子的健康就意味着一个家庭的幸福和未来，职业赋予了我们一种责任，那就是尽我们所能，带给患儿健康和希望。因此，简单问题在网站上留言与我咨询，我会尽量给您当天回复，但是有时医院工作比较忙，也有时会回复不及时，...请您谅解！如果有家长比较着急可以预约电话咨询与我一对一沟通，我会尽量与您当天通话。                                        展开 >>,0.221111725,0.19976169380893846,-6.943005807334527,一线城市,240.0,57600.0,5,1,0,0,0,0,0,1
33,主治医师,深圳,1,0,一份激情，一份守候                        我从事儿科多年，对儿科的激情未曾减少，希望我的激情及专业知识能帮助更多的人！,0.199183057,0.18164053912071768,-10.097708035728196,一线城市,71.0,5041.0,2,1,0,0,1,0,0,0
35,副主任医师,北京,1,0,0,0.196983957,0.1798050238126694,91.35968074198576,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
36,主任医师 教授,广州,1,25,0,0.191590719,0.17528915313917914,-7.9093182899891294,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
37,主任医师,北京,1,0,欢迎词                        欢迎来到我的网站！我将尽力为您提供儿童康复相关咨询服务！但需要您提供详尽的病史、目前状况、检查结果，最好有视频或数张照片。情况越明确，我的判断和建议将越准确、可靠，不然，请您找我看门诊。,0.18286273600000005,0.16793754783309114,-7.007867041842019,一线城市,120.0,14400.0,4,1,0,0,0,0,1,0
39,副主任医师,深圳,1,3,欢迎新老病友咨询！                        虽然网站开通将近4年，但一直疏于管理，又由于门诊时间有限，不利于患者咨询，因此重新开通网站，为医患沟通提供一条便捷通道。欢迎新老患儿咨询。,0.182003097,0.16721053911583772,-4.026842196878127,一线城市,102.0,10404.0,4,1,0,0,0,0,1,0
44,副主任医师,北京,1,17,欢迎词                        您的孩子就是我们的孩子，我们的目标是共同努力，为孩子驱走病魔，还孩子一颗健康的心脏，让孩子的世界充满阳光和欢乐！欢迎您来对孩子的病情向我咨询，我会针对孩子的病情，在12小时内给予回复，个别情况下会在24小时内给予回复，1860037291...4.希望我们的共同努力，尽可能减轻孩子们看病难的问题。咨询时请说明孩子的年龄、体重、详细症状及超声、胸片资料等，以便对孩子的病情作出及时准确的评估。我们为家庭贫困的孩子准备了爱佑基金。该基金是爱佑基金会与我们医院,0.164875435,0.15261415855423838,63.69769717065488,一线城市,255.0,65025.0,4,1,0,0,0,0,1,0
47,主治医师 讲师,北京,1,0,0,0.156924958,0.14576558698968625,-6.7470341098251065,一线城市,0.0,0.0,3,1,0,0,0,1,0,0
50,主任医师,深圳,1,4,0,0.146421652,0.13664548430392245,-5.058015914040213,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
52,主治医师,北京,1,13,我的微博：http://weibo.com/lixiaofengyisheng                        ■提供胎儿心脏评估及出生后各种先心病手术治疗及微创手术的一站式咨询和服务。以爱心护心，用真心守护。■您的孩子就是我们的孩子，我们的目标是共同努力，为孩子驱走病魔，还孩子一颗健康的心脏，让孩子的世界充满阳光和欢乐！我的微博：http://w...eibo.com/lixiaofengyisheng■家庭贫困的孩子，来就诊住院的时候携带家庭贫困证明等材料，我帮助孩子们申请爱心基金救助。,0.145669513,0.13598919363060044,464.36536497349647,一线城市,255.0,65025.0,2,1,0,0,1,0,0,0
54,主任医师,北京,1,9,0,0.138430768,0.12965079483515865,199.34303513721687,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
55,主任医师,上海,1,2,心血浇灌柔弱的花朵 爱心抚育如花的生命                        十月怀胎孕育你 一朝分娩生下你 今生今世爱护你 这是母亲的大爱如果孕期胎儿有发育异常 我可以为您做发育异常胎儿的产前咨询 解除您的焦虑是我愿意做的初为人父母 新生的宝宝让您感到手忙脚乱 我可以为您做新生儿营养 发育 睡眠 早教及疾病诊治...等方面指导 您的宝宝健康聪明是我希望看到的                                        展开 >>                 收起 <<,0.137937049,0.12921701695088658,-9.630767103027763,一线城市,252.0,63504.0,4,1,0,0,0,0,1,0
60,副主任医师,广州,1,5,儿童心脏病的交流平台                        欢迎儿童心脏病患者的咨询，希望通过好大夫的在线平台，提供心脏病诊治的相关信息。1、对于已经找我面诊过得患者（尤其是外地患者），不方便复诊或病情发生变化时，可直接申请电话咨询与我一对一进行深度咨询;2、没有就诊过的患者，可以通过在线咨询的...方式向我咨询有关先心病的相关问题，由于医院工作繁忙，可能不能及时给您回复，请理解。如果希望尽快与我沟通，可以申请电话咨询服务，我将尽量当天与您通话;3、 如果您想找我当面就诊，可直接通过预约转诊进行申,0.128507831,0.1208962565513322,155.82113915557306,一线城市,255.0,65025.0,4,1,0,0,0,0,1,0
61,主任医师 教授,北京,1,8,欢迎词                        楊奶奶祝愿过敏性紫癜、过敏性鼻炎…患过敏症的孩子们早日康复、健康成长！,0.128242969,0.12066152793068335,-4.9333615966122855,一线城市,62.0,3844.0,5,1,0,0,0,0,0,1
