,医生职称,医生所在城市,医生有无简介,总文章数,医生欢迎词,IST0_1erke,log(IST),患者满意度,城市等级,欢迎词字数,字数平方,profession_encoding,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
1,主治医师,成都,0,5,专业有爱的儿科医生                        作为一位女儿的爸爸，我深深地理解每一位家长在孩子生病后的心情，上班时间没有没有沟通到位的，我会利用闲暇时间在网上答疑。当然，医学博大精深，也有许多我解决不了的问题，但我一定能给你正确的引导。,0.994602747,0.6904449062031721,-9.717605794742596,二线城市,128.0,16384.0,2,0,1,0,1,0,0,0
2,住院医师,青岛,0,12,山东大学齐鲁医院（青岛）儿外科竭诚为每一位患儿服务...                        山东大学齐鲁医院（青岛）小儿外科竭诚为每一位患儿服务。您的提问我会在2个工作日内回复，如因假期、值班等延误，敬请见谅。,0.779988817,0.5766070816999886,-7.881955824322445,二线城市,111.0,12321.0,0,0,1,0,0,0,0,0
3,主任医师,济南,1,1,0,0.682372168,0.5202048022357542,-7.616371597590723,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
5,副主任医师,青岛,1,11,0,0.568266256,0.4499707136352373,-9.630767103027763,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
6,住院医师,青岛,0,0,0,0.540954998,0.432402352796699,-10.097708035728196,二线城市,0.0,0.0,0,0,1,0,0,0,0,0
7,副主任医师,成都,0,0,0,0.485740053,0.3959130003070038,-10.097708035728196,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
8,副主任医师 副教授,济南,1,0,0,0.485732053,0.3959076157705084,-9.163826170327335,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
11,副主任医师 副教授,武汉,1,0,0,0.437592721,0.3629699931744494,-9.717605794742653,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
12,主任医师 教授,重庆,1,0,0,0.410072516,0.3436411328548448,-9.630767103027763,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
13,副主任医师,石家庄,1,5,秉承业精于勤之古训，服务于广大患儿。                        愿小朋友们健康、快乐地成长。,0.398918247,0.33569925723532235,-10.097708035728196,二线城市,56.0,3136.0,4,0,1,0,0,0,1,0
20,副主任医师 副教授,成都,1,0,0,0.316532134,0.2750011083156645,-6.155755716569004,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
23,副主任医师 副教授,成都,1,0,0,0.287249981,0.252508145183966,-6.948073958921577,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
26,副主任医师,温州,1,0,欢迎词                        让我们一起关注儿童健康事业！,0.272318526,0.24084084709171025,-9.630767103027763,二线城市,41.0,1681.0,4,0,1,0,0,0,1,0
27,副主任医师,福州,1,5,欢迎词                        希望能帮助到更多孩子解决生长发育的问题，成就孩子梦想的高度。,0.24917143,0.22248047552804165,-7.941748907242874,二线城市,57.0,3249.0,4,0,1,0,0,0,1,0
29,主任医师,厦门,1,7,刘登礼博士个人网站开通了！                        如您的孩子有什么不适，欢迎家长朋友咨询！,0.239948802,0.21507009005486585,-9.864237569377982,二线城市,57.0,3249.0,4,0,1,0,0,0,1,0
32,主治医师 讲师,武汉,1,0,0,0.204742137,0.18626554985172306,-10.097708035728196,二线城市,0.0,0.0,3,0,1,0,0,1,0,0
34,副主任技师,重庆,0,0,0,0.197036198,0.17984866672010208,-9.136463704660642,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
40,主治医师 讲师,哈尔滨,0,2,雾化吸入及灌肠在大部分呼吸道患儿的广泛应用                        能用一些简单的方法治疗及治愈患儿尽可能降低不必要的吃药、打针等对患儿有损伤的治疗我们需要努力为患儿保驾护航,0.179039753,0.16470033854406171,-9.864237569377982,二线城市,98.0,9604.0,3,0,1,0,0,1,0,0
41,副主任医师,天津,1,19,斜视治疗是一门医术，更是一门艺术                        与家长分享斜视的国际治疗理念将患儿当做自己的孩子一样治疗,0.173965092,0.16038698672192536,8.559536099442793,二线城市,68.0,4624.0,4,0,1,0,0,0,1,0
42,主治医师,成都,1,1,0,0.172976963,0.1595449300922939,-10.097708035728196,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
45,主任医师 教授,济南,1,0,0,0.16372034,0.15162206271077472,34.74862521234841,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
48,主治医师,郑州,0,3,0,0.151245176,0.1408441183505875,-8.957401312771571,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
49,副主任医师,天津,1,2,0,0.150118304,0.1398648101275683,-5.422596843392372,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
53,主任医师 副教授,天津,1,1,欢迎词                        欢迎患者使用医指通预约挂号医指通网站预约:www.eztcn.com市内电话预约：400-6511-800异地患者专线：022-26690818,0.139521993,0.13060887008777392,154.6091517946721,二线城市,99.0,9801.0,5,0,1,0,0,0,0,1
57,主任医师 教授,天津,1,0,欢迎辞                        热忱欢迎各位患者前来就医，我愿以良好的医德、竭尽所能为您诊治。,0.132618501,0.1245322095456118,9.282241812573064,二线城市,58.0,3364.0,5,0,1,0,0,0,0,1
58,住院医师 助教,南京,1,0,0,0.129859571,0.1220933515503366,-2.3381408579654948,二线城市,0.0,0.0,1,0,1,1,0,0,0,0
59,主任医师,郑州,1,0,欢迎词                        重要声明：本人利用业余时间和大家在网上交流，宗旨是本专业的问题尽量解释提示，因为未见到患儿所以无法进行诊断及处方治疗，欢迎家长带孩子就诊。感谢--大家对我个人网站的关注和支持，这也是我为你们工作的动力。关心儿童健康成长，是你、我共同心愿...！                                        展开 >>                 收起 <<,0.129587575,0.12185258822750747,-6.4216568001729595,二线城市,216.0,46656.0,4,0,1,0,0,0,1,0
63,副主任医师,太原,1,5,欢迎                        欢迎各位访问我的网站，我将尽我所能给您带来满意的答复。,0.117574712,0.11116090164663787,3.1907865105025754,二线城市,53.0,2809.0,4,0,1,0,0,0,1,0
67,住院医师,合肥,0,0,0,0.108757765,0.10324025799931576,-9.630767103027763,二线城市,0.0,0.0,0,0,1,0,0,0,0,0
71,副主任医师 讲师,南京,1,0,呵护宝宝的健康                        每位宝宝都能健康茁壮的成长，是我最欣慰的事情。,0.103354138,0.09835475673643956,-9.630767103027763,二线城市,54.0,2916.0,5,0,1,0,0,0,0,1
73,主治医师 讲师,济南,1,0,0,0.102417441,0.09750544208824673,-9.864237569377982,二线城市,0.0,0.0,3,0,1,0,0,1,0,0
74,副主任医师 副教授,西安,1,30,祝福大家，祝福天下所有的孩子和父母                        每一位患者顺利康复都能给我带来一丝慰藉，心中都有一块石头轻轻落地，愿天下的孩子都能健康成长，愿天下的父母都能心情愉快，谢谢大家对我的信任，我将继续不遗余力地去帮助每一位需要我的患儿和他们的父母，努力提高自己的医疗技术，减少他们的痛苦，在充满...诱惑纷繁复杂的社会中净化自己的灵魂。祝福大家，祝福天下所有的孩子和父母。                                        展开 >>,0.101218673,0.0964174510985956,46.71161135503172,二线城市,245.0,60025.0,5,0,1,0,0,0,0,1
75,副主任医师 副教授,武汉,1,3,0,0.100328161,0.0956084634951394,6.959061446231992,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
76,主任医师 教授,济南,1,0,健康一生                        孩子是祖国的花朵，让我们为每一朵花献出爱心，欢迎大家与我共同探讨小儿外科疾病的治疗。,0.097879288,0.09338039897448966,-0.4207203474174236,二线城市,70.0,4900.0,5,0,1,0,0,0,0,1
80,副主任医师 副教授,郑州,0,0,0,0.094796636,0.09056862547232236,-9.864237569377982,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
81,主治医师,郑州,0,25,爱宝宝                        用爱心为宝宝服务。郑州大学第五附属医院,0.094725279,0.09050344503312567,43.06906187384494,二线城市,46.0,2116.0,2,0,1,0,1,0,0,0
83,主任医师,武汉,1,7,欢迎咨询 为您解答                        住院提示：★★★欢迎各位家长朋友咨询孩子有关泌尿生殖系统的问题，虽然不能面面俱到，但也可以给您指导治疗的方向，特别希望为你们的家庭带来欢笑，为家长解除心中的阴霾，为患儿解除病痛！回答可能言辞简易，但都是个人斟酌后的指导意见，希望对您和孩子有...所专业帮助！现在就诊可预约寒假手术。床位提示：★ 科室床位紧张，预约时间1~2月左右★★ 科室近期可安排★★★ 科室可尽快安排,0.093568308,0.0894460264904975,92.69223260386116,二线城市,219.0,47961.0,4,0,1,0,0,0,1,0
84,主治医师 研究员,郑州,1,20,铸就“心”的完美                        希望我的努力能给您的孩子带去健康！孩子有什么问题可以在网站给我留言，我会尽快给您答复！,0.091823973,0.08784966744265194,-5.693566078583365,二线城市,75.0,5625.0,3,0,1,0,0,1,0,0
86,主治医师 讲师,青岛,1,9,欢迎咨询问题，尽我所能去解除患儿的病痛                        经我最大的努力，给患儿祛除病痛,0.091313933,0.08738241339710784,-7.941748907242874,二线城市,58.0,3364.0,3,0,1,0,0,1,0,0
93,副主任医师,温州,1,1,0,0.086213211,0.08269752912980348,14.030375235849615,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
95,副主任医师,宁波,1,0,0,0.08526933099999999,0.08182818752452782,-6.68724102690467,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
96,主治医师,哈尔滨,0,1,欢迎                        欢迎大家管理本网站，我将尽己所能，为您服务,0.08501147099999999,0.08159055928676638,-9.630767103027763,二线城市,47.0,2209.0,2,0,1,0,1,0,0,0
98,主治医师 讲师,西安,1,0,0,0.084203816,0.08084590748372862,-6.334501251585821,二线城市,0.0,0.0,3,0,1,0,0,1,0,0
100,主任医师 教授,武汉,1,0,0,0.083963685,0.0806244015337768,-1.9256079997261983,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
102,主任医师,天津,1,0,欢迎词                        现在春天，春暖花开，是呼吸道过敏性疾病高发季节，许多过敏体质的小孩，会出现鼻痒、鼻塞、经常流涕，还有出现咳嗽或咳喘，最好发病早期带您的宝宝到医院诊治。平日要保持室内空气流通，不要到人群密集的场所。      我们在西医治疗的同时采用中药穴...位贴敷治疗气管炎、支气管炎，哮喘，咳嗽变异性哮喘、过敏性鼻炎，慢性咽炎，反复呼吸道感染等多种呼吸系统疾病。取得了较好的疗效。                                        展开 >,0.08305324,0.07978412655201199,-9.630767103027763,二线城市,255.0,65025.0,4,0,1,0,0,0,1,0
104,主任医师 教授,成都,1,4,《儿童生长发育的常见影响因素》电视健康讲堂                        成都电视台《第一健康》栏目链接第一期（4月23日）：http://www.cdtv.cn/show-115-1692-1.html第二期（4月24日）：http://www.cdtv.cn/show-115-1700-1.html,0.081741231,0.07857199378077964,-4.3576045149895695,二线城市,160.0,25600.0,5,0,1,0,0,0,0,1
105,住院医师,杭州,1,1,欢迎大家咨询儿牙问题                        我会尽量抽时间回答大家的问题！,0.081574717,0.07841805047861633,-10.097708035728196,二线城市,49.0,2401.0,0,0,1,0,0,0,0,0
107,副主任医师,太原,0,0,0,0.080047222,0.07700476425433295,-9.163826170327335,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
108,主任医师,嘉兴,1,3,大家好！                        有关生长发育的问题尽管提，我将尽快做出回答。,0.07928944,0.07630289868196216,-8.669522771960214,二线城市,50.0,2500.0,4,0,1,0,0,0,1,0
109,主任医师 教授,成都,1,0,倾听是种艺术                        好大夫的修养有很多，倾听是一种重要的沟通,0.078777161,0.07582814131406193,4.060123998268192,二线城市,50.0,2500.0,5,0,1,0,0,0,0,1
111,主治医师,郑州,0,2,欢迎词                        小儿手术哪里去，省医小儿外科帮助您！,0.078244175,0.07533395425902281,-10.097708035728196,二线城市,45.0,2025.0,2,0,1,0,1,0,0,0
115,主治医师 讲师,郑州,1,0,希望您能得到有效帮助！                        真心希望您的宝宝早日康复！,0.075244505,0.07254808222921763,-8.783723929341798,二线城市,48.0,2304.0,3,0,1,0,0,1,0,0
116,主治医师,青岛,1,7,0,0.07518390400000001,0.07249172043659767,-7.213975042525536,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
117,副主任医师 副教授,青岛,1,9,0,0.074932337,0.07225771727309344,8.051733097173733,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
119,主治医师 讲师,郑州,1,3,0,0.073324287,0.0707606425918197,-7.295745582653372,二线城市,0.0,0.0,3,0,1,0,0,1,0,0
121,主任医师 教授,西安,1,1,0,0.07259345099999999,0.07007950182363977,-7.9691113729095715,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
122,副主任医师,成都,1,1,为了你的健康，我愿竭尽所能！                        各位小朋友：我是胡显良博士，专长为儿童肿瘤的诊治，愿意为所有实体性肿瘤患儿服务。欢迎网上咨询！,0.072198245,0.06971097558847217,-6.7470341098251065,二线城市,85.0,7225.0,4,0,1,0,0,0,1,0
124,主治医师,郑州,0,8,0,0.071768322,0.06930992175453657,-5.373256920518268,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
126,主治医师 讲师,南京,1,5,欢迎您！                        肾小球疾病作为一种慢性病，消耗着孩子的天真、家长的精力、亲人的牵挂；迁延的病程，使爸妈无法正常工作，使富裕变为贫穷，贫穷转为拮据。作为十六年的儿科医师，现在肾病研究所刘志红院士指导下进行博士后工作，有幸在研究所临床治疗童年得肾小球疾病，迁延...至成人甚至老人的患者，循证了肾脏疾病从儿童到中老年的发生发展过程，希望能在网上为各位家长排忧解惑！时间有限，请您见谅。Hippocratic Oath:I swear by Apollo the Physic,0.07081225299999999,0.06841747544506145,0.10601366820344034,二线城市,255.0,65025.0,3,0,1,0,0,1,0,0
131,主治医师,合肥,1,12,0,0.069287086,0.06699215164778688,-9.717605794742653,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
132,主任医师 教授,石家庄,1,2,0,0.069139428,0.06685405197565134,-7.355538665573814,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
134,主治医师,合肥,1,10,愿天下的孩子都健康成长！                        关注孩子的生长发育和健康，尤其是身材矮小，欢迎您来咨询！,0.068105882,0.06588687607335174,-7.941748907242874,二线城市,64.0,4096.0,2,0,1,0,1,0,0,0
138,副主任医师 副教授,南京,1,4,爱心、耐心、细心、真心是我不变的信条                        没有最好，只有更好是我永恒的追求，但愿您的宝贝在你我的共同呵护下健康快乐成长。,0.066164529,0.06406765623559071,-1.3272397471515858,二线城市,81.0,6561.0,5,0,1,0,0,0,0,1
139,副主任医师,成都,1,0,0,0.065989768,0.06390372719852501,-10.097708035728196,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
142,主任医师 教授,佛山,1,27,"为脑瘫儿童解除障碍是我们的使命                        作者简介 刘振寰，儿科主任医师/教授/博士生导师,享受国务院特殊津贴的儿科专家.现为广州中医药大学附属南海妇儿医院副院长，脑瘫康复中心主任。1997～1998年赴美国、德国进修小儿脑瘫康复。国际亚洲大洋洲小儿神经协会终身会员,国际物理与康复...医学会会员，世界神经康复治疗学会会员，国际神经修复学会理事;世界中医药联合会儿科专业委员会常务理事;世界中医药联合会康复保健专业委员会常务理事.香港中华中医药学院/台湾中山医学科学院/印",0.062953857,0.0610516901391871,6.807361520009622,二线城市,255.0,65025.0,5,0,1,0,0,0,0,1
144,住院医师 助教,南京,1,0,0,0.06270662,0.0608190687927491,-8.637092154706469,二线城市,0.0,0.0,1,0,1,1,0,0,0,0
145,主任医师 副教授,温州,1,3,0,0.061195101,0.05939572679887301,-6.627764800856477,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
149,副主任医师,杭州,1,0,0,0.059079015,0.0573996766781738,-10.097708035728196,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
151,住院医师,佛山,0,0,0,0.058583555,0.05693174565265593,-9.864237569377982,二线城市,0.0,0.0,0,0,1,0,0,0,0,0
152,主任医师 教授,昆明,1,14,0,0.058503298,0.056855927317735235,-6.86123526720669,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
153,住院医师,郑州,0,0,欢迎词                        但愿人间常无病　　　何愁架上药生尘,0.05848448,0.0568381492273787,-9.1040330874069,二线城市,44.0,1936.0,0,0,1,0,0,0,0,0
154,主任医师 副教授,厦门,1,0,0,0.05786167,0.05624957819614237,-9.39729663667755,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
155,副主任医师 副教授,哈尔滨,1,2,医者仁心                        各位新老患者，哈尔滨医科大学附属第一医院在群力建立分院已开始收治病人，我主管儿科门诊和病房，同时，我也在医大一院门诊出诊，如果您的小孩有关于呼吸系统和消化系统方面的疾病，可以通过我的网站进行咨询，我会及时回复您的问题，帮助您解忧排难！,0.057685701,0.05608322030426245,-8.202581839259784,二线城市,145.0,21025.0,5,0,1,0,0,0,0,1
156,主任医师 教授,成都,1,0,0,0.05668937,0.055140784794679376,-3.8906635822891458,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
158,主治医师,沈阳,0,0,0,0.05547942,0.053995090247843484,-8.902993238310428,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
161,主治医师,无锡,1,6,大手拉小手，祝愿所有的小朋友快乐的成长！                        小儿外科医生是挽救儿童生命，改善儿童生活质量的积极倡导者和关键力量，我们在进行中………,0.054423134000000005,0.05299382496547849,-8.902993238310428,二线城市,87.0,7569.0,2,0,1,0,1,0,0,0
165,主任医师,天津,0,2,为了您的宝宝健康成长愿助一份力                        愿为年轻的家长了解育儿知识及相关的小儿常见病，减少到医院的次数，避免在公共场所交叉感染提供方便。,0.051899391,0.050597473810551886,-4.965792213866028,二线城市,87.0,7569.0,4,0,1,0,0,0,1,0
166,副主任医师 副教授,郑州,1,0,0,0.051710505,0.05041789108386212,-10.097708035728196,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
169,主任医师 教授,哈尔滨,1,1,0,0.050207068,0.04898735234561327,-8.783723929341798,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
171,副主任医师 副教授,石家庄,0,4,儿童牙科医生                        想到儿科，总是哭声一片，儿童牙科，更是让人胆寒。所以，在我们国家的医疗环境和秩序还不尽人意的今天，千万保护好孩子的牙。,0.04958199,0.04839198014278871,-9.864237569377982,二线城市,89.0,7921.0,5,0,1,0,0,0,0,1
174,副主任医师 副教授,大连,1,1,0,0.048588167,0.04744465652272139,-9.39729663667755,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
175,住院医师,西安,1,0,0,0.048504502000000005,0.04736486510359991,-9.136463704660642,二线城市,0.0,0.0,0,0,1,0,0,0,0,0
180,主治医师,郑州,1,17,座右铭                        勤求古训医疾医人医德   博采众方治病治身治心,0.046929919,0.04586199459561817,-5.666520469788924,二线城市,50.0,2500.0,2,0,1,0,1,0,0,0
182,副主任医师,济南,1,0,0,0.04643559,0.04538971299256025,-8.436052305610001,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
183,主治医师,西安,0,0,希望每位患儿早日康复，快乐成长！                        欢迎肾病或血液病患儿来到我的网站，希望我能为你们早日恢复健康提供帮助！,0.04636542,0.04532265453865947,-9.864237569377982,二线城市,75.0,5625.0,2,0,1,0,1,0,0,0
184,主任医师,杭州,1,0,0,0.046051051,0.04502217037910289,-9.864237569377982,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
186,主治医师,杭州,1,1,0,0.044578468,0.04361342413290919,-7.213975042525536,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
191,主治医师,郑州,1,3,欢迎您的咨询！                        我愿竭诚为您服务！,0.042223268,0.04135618909292437,-8.289420530974674,二线城市,40.0,1600.0,2,0,1,0,1,0,0,0
193,主任医师 教授,济南,1,0,0,0.041588943,0.04074737701643843,-7.561646666257332,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
194,主任医师,杭州,1,0,愿我的微薄之力有助于您的孩子的健康，乃我之幸也！                        为人母，深感孩子的健康牵动父母乃至全家的神经！身为郑州市儿童医院一名普通的职工，深感肩头的责任之重！身为国家培养的一名医生，深感肩头的义务之大！,0.04145688,0.04062057903751857,-5.2543044684218865,二线城市,120.0,14400.0,4,0,1,0,0,0,1,0
195,副主任医师,成都,1,3,尽我所能为患儿解除病痛，是我的毕生追求                        病急不能乱投医，要请专科医师诊治疾病，特别是儿童这个特殊群体，应该受到社会及医疗界的广泛关注，他们是我们明天的希望！,0.041343384,0.04051159499130535,-9.630767103027763,二线城市,101.0,10201.0,4,0,1,0,0,0,1,0
197,副主任医师 副教授,武汉,1,0,0,0.040739748,0.0399317564559125,-6.595334183602732,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
198,住院医师,贵阳,0,0,0,0.040249628,0.03946071127450504,-9.484135328392439,二线城市,0.0,0.0,0,0,1,0,0,0,0,0
199,副主任医师,西安,1,0,欢迎词                        +有问题尽量到门诊就诊 看到孩子结合临床及必要的检验才能做出较明确的诊断及准确的治疗 尤其是小儿腹泻原因不同 治疗方法也不同 谢谢理解！,0.040184365,0.03939797148055725,-6.1013476421078625,二线城市,95.0,9025.0,4,0,1,0,0,0,1,0
200,主治医师,郑州,1,0,0,0.039846255,0.039072870494324716,-8.870562621056685,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
201,副主任医师,天津,1,11,关注脑瘫患儿，托起明天的太阳！                        脑性瘫痪过去曾被认为是“不治之症”，由于康复医学的发展给脑性瘫痪患儿的治疗带来了希望。但脑性瘫痪的治疗不适一种方法、一朝一夕的短期治疗就能解决的问题，而是一个需要发出人力、物力及长时间的综合治疗过程。不仅需要医生与家长的配合，而且需要全社会...的支持。宣传、普及脑性瘫痪的防治知识显得格外重要。        脑性瘫痪的病因是多方面的，但新生儿窒息、早产与核黄疸在我国许多地区目前仍是脑性瘫痪的主要致病原因。作为一个儿科医生，多年,0.039630431,0.038865295192107616,-7.002798890254973,二线城市,255.0,65025.0,4,0,1,0,0,0,1,0
203,主治医师,成都,1,1,0,0.039025624,0.03828337398815233,-8.436052305610001,二线城市,0.0,0.0,2,0,1,0,1,0,0,0
