,医生职称,医生所在城市,医生有无简介,总文章数,医生欢迎词,IST0_1erke,log(IST),患者满意度,城市等级,欢迎词字数,字数平方,profession_encoding,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
17,主治医师,日照,0,3,0,0.340624851,0.2931358119920474,-10.097708035728196,其他,0.0,0.0,2,0,0,0,1,0,0,0
22,主治医师,安庆,0,0,健康童年                        希望能给家长朋友们一些帮助，有关小儿疝气，包茎，隐睾，肠套叠，先天性巨结肠，先天性胆总管囊肿等方面的问题，可以留言咨询。,0.299936002,0.26231503402492345,-10.097708035728196,其他,88.0,7744.0,2,0,0,0,1,0,0,0
24,副主任医师,娄底,1,0,解答婴幼儿医疗疑问                        很感谢好大夫在线为我建立个人网站，能更好与婴幼儿的家长沟通，在培育宝宝的生活中会遇到不少问题，我们可以共同探讨，我是一个照料孙宝宝的医生奶奶，结合近四十年的医疗经验能为大家解决一些疑问，我会很高兴。因时间关系，上网和回答问题会不及时，请原谅...！                                        展开 >>                 收起 <<,0.278123949,0.2453933379504029,-10.097708035728196,其他,224.0,50176.0,4,0,0,0,0,0,1,0
25,主任医师,黄冈,1,3,0,0.274004227,0.2421648750408567,-9.39729663667755,其他,0.0,0.0,4,0,0,0,0,0,1,0
38,住院医师,咸阳,0,0,0,0.182650775,0.16775833854125524,-10.097708035728196,其他,0.0,0.0,0,0,0,0,0,0,0,0
43,副主任医师,南阳,1,1,0,0.166631112,0.15412020393430154,-9.717605794742653,其他,0.0,0.0,4,0,0,0,0,0,1,0
46,主治医师,济宁,1,0,大家好                        欢迎进入我的网站，能为你服务是我的荣幸，祝宝宝早日康复，快乐幸福！！因为工作比较繁忙，可能无法及时回复大家的信息，如果大家能等待的，我会尽量抽时间来回复，如果不能等待的，建议及时就诊，不要延误病情，对于给大家造成的困扰非常抱歉！！请大家理...解，谅解！！                                        展开 >>                 收起 <<,0.15965083900000002,0.1481189589463524,-8.930355703977124,其他,222.0,49284.0,2,0,0,0,1,0,0,0
51,副主任医师,安阳,0,0,0,0.146319554,0.13655642235502016,-10.097708035728196,其他,0.0,0.0,4,0,0,0,0,0,1,0
56,主任医师 教授,开封,1,3,0,0.132769895,0.12466586786265155,-8.930355703977124,其他,0.0,0.0,5,0,0,0,0,0,0,1
68,副主任医师 副教授,九江,1,14,0,0.10637584,0.10108966454286024,-1.2404010554366984,其他,0.0,0.0,5,0,0,0,0,0,0,1
78,副主任医师,荆州,1,0,0,0.096440636,0.0920691478753246,-10.097708035728196,其他,0.0,0.0,4,0,0,0,0,0,1,0
87,住院医师,聊城,1,3,欢迎词                        在我有限的时间里发挥无限的爱心与知识，竭尽所能为了孩子的健康和快乐奋斗、努力！,0.091308018,0.08737699331050301,-10.097708035728196,其他,66.0,4356.0,0,0,0,0,0,0,0,0
88,主治医师,唐山,1,4,唐山妇幼保健院儿保科生长发育门诊将办“矮小排查”义...                        唐山妇幼保健院将举办以“科学诊断、综合治疗、快乐成长”为主题的青少年生长发育义诊活动。医院将免费身高体重测量及未来身高预测，并为身高低于-2SD的前50名儿童免费骨龄测评（拍片自费）和未来身高预测。欢迎广大深受身高问题困扰的青少年及家长积极...前来参加。请提前电话预约。报名预约电话：0315-3726731活动地点：唐山妇幼保健院儿保科生长发育门诊活动时间：2013年8月12日——2013年8月17日,0.091102988,0.08718910019592511,-10.097708035728196,其他,255.0,65025.0,2,0,0,0,1,0,0,0
89,副主任医师,安阳,1,0,0,0.091082823,0.087170618726658,-10.097708035728196,其他,0.0,0.0,4,0,0,0,0,0,1,0
91,副主任医师 副教授,开封,1,0,0,0.088252496,0.08457319503826675,-9.864237569377982,其他,0.0,0.0,5,0,0,0,0,0,0,1
