,医生职称,医生所在城市,医生有无简介,总文章数,医生欢迎词,IST0_1erke,log(IST),患者满意度,城市等级,欢迎词字数,字数平方,profession_encoding,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
0,主治医师,北京,1,0,儿童强，中国强！                        儿科大夫的使命：让每个儿童拥有良好的开端，美好的未来！,1.0,0.6931471805599453,-9.136463704660787,一线城市,59.0,3481.0,2,1,0,0,1,0,0,0
1,主治医师,成都,0,5,专业有爱的儿科医生                        作为一位女儿的爸爸，我深深地理解每一位家长在孩子生病后的心情，上班时间没有没有沟通到位的，我会利用闲暇时间在网上答疑。当然，医学博大精深，也有许多我解决不了的问题，但我一定能给你正确的引导。,0.994602747,0.6904449062031721,-9.717605794742596,二线城市,128.0,16384.0,2,0,1,0,1,0,0,0
2,住院医师,青岛,0,12,山东大学齐鲁医院（青岛）儿外科竭诚为每一位患儿服务...                        山东大学齐鲁医院（青岛）小儿外科竭诚为每一位患儿服务。您的提问我会在2个工作日内回复，如因假期、值班等延误，敬请见谅。,0.779988817,0.5766070816999886,-7.881955824322445,二线城市,111.0,12321.0,0,0,1,0,0,0,0,0
3,主任医师,济南,1,1,0,0.682372168,0.5202048022357542,-7.616371597590723,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
4,副主任医师,北京,1,0,0,0.613790149,0.4785855421875879,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
5,副主任医师,青岛,1,11,0,0.568266256,0.4499707136352373,-9.630767103027763,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
6,住院医师,青岛,0,0,0,0.540954998,0.432402352796699,-10.097708035728196,二线城市,0.0,0.0,0,0,1,0,0,0,0,0
7,副主任医师,成都,0,0,0,0.485740053,0.3959130003070038,-10.097708035728196,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
8,副主任医师 副教授,济南,1,0,0,0.485732053,0.3959076157705084,-9.163826170327335,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
9,住院医师,广州,0,0,0,0.4615317920000001,0.37948505832607055,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
10,住院医师,上海,1,0,0,0.438445261,0.3635628504526262,-10.097708035728196,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
11,副主任医师 副教授,武汉,1,0,0,0.437592721,0.3629699931744494,-9.717605794742653,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
12,主任医师 教授,重庆,1,0,0,0.410072516,0.3436411328548448,-9.630767103027763,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
13,副主任医师,石家庄,1,5,秉承业精于勤之古训，服务于广大患儿。                        愿小朋友们健康、快乐地成长。,0.398918247,0.33569925723532235,-10.097708035728196,二线城市,56.0,3136.0,4,0,1,0,0,0,1,0
14,住院医师,上海,1,0,0,0.386396427,0.3267078822376349,-8.69688523762691,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
15,主治医师,北京,1,0,0,0.34873744,0.2991689252206194,-9.864237569377982,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
16,住院医师,广州,1,1,0,0.344252399,0.2958380213443321,-8.989831930025316,一线城市,0.0,0.0,0,1,0,0,0,0,0,0
17,主治医师,日照,0,3,0,0.340624851,0.2931358119920474,-10.097708035728196,其他,0.0,0.0,2,0,0,0,1,0,0,0
18,主任医师 副教授,深圳,0,3,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.32522038600000003,0.28157877466364545,-10.097708035728196,一线城市,47.0,2209.0,5,1,0,0,0,0,0,1
19,副主任医师,上海,0,0,0,0.320705501,0.2781660642743632,-9.864237569377982,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
20,副主任医师 副教授,成都,1,0,0,0.316532134,0.2750011083156645,-6.155755716569004,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
21,主治医师,北京,1,0,0,0.304873121,0.26610581076061585,-7.762686515353803,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
22,主治医师,安庆,0,0,健康童年                        希望能给家长朋友们一些帮助，有关小儿疝气，包茎，隐睾，肠套叠，先天性巨结肠，先天性胆总管囊肿等方面的问题，可以留言咨询。,0.299936002,0.26231503402492345,-10.097708035728196,其他,88.0,7744.0,2,0,0,0,1,0,0,0
23,副主任医师 副教授,成都,1,0,0,0.287249981,0.252508145183966,-6.948073958921577,二线城市,0.0,0.0,5,0,1,0,0,0,0,1
24,副主任医师,娄底,1,0,解答婴幼儿医疗疑问                        很感谢好大夫在线为我建立个人网站，能更好与婴幼儿的家长沟通，在培育宝宝的生活中会遇到不少问题，我们可以共同探讨，我是一个照料孙宝宝的医生奶奶，结合近四十年的医疗经验能为大家解决一些疑问，我会很高兴。因时间关系，上网和回答问题会不及时，请原谅...！                                        展开 >>                 收起 <<,0.278123949,0.2453933379504029,-10.097708035728196,其他,224.0,50176.0,4,0,0,0,0,0,1,0
25,主任医师,黄冈,1,3,0,0.274004227,0.2421648750408567,-9.39729663667755,其他,0.0,0.0,4,0,0,0,0,0,1,0
26,副主任医师,温州,1,0,欢迎词                        让我们一起关注儿童健康事业！,0.272318526,0.24084084709171025,-9.630767103027763,二线城市,41.0,1681.0,4,0,1,0,0,0,1,0
27,副主任医师,福州,1,5,欢迎词                        希望能帮助到更多孩子解决生长发育的问题，成就孩子梦想的高度。,0.24917143,0.22248047552804165,-7.941748907242874,二线城市,57.0,3249.0,4,0,1,0,0,0,1,0
28,主治医师,广州,1,0,"满意的笑容即是最大的鼓励                        专注:1.药物注射治疗及微创手术治疗痔疮等肛肠疾病;2.腹腔镜微创治疗小儿疝气及鞘膜积液;3.微创手术治疗男性精索静脉曲张,隐睾,性功能障碍,前列腺增生,包茎及包皮过长等男性生殖系统疾病;4.微创手术治疗膀胱结石,输尿管中下段结石,排尿异常...等泌尿系统疾病.                                        展开 >>                 收起 <<",0.242351116,0.2170056456519776,-8.870562621056685,一线城市,234.0,54756.0,2,1,0,0,1,0,0,0
29,主任医师,厦门,1,7,刘登礼博士个人网站开通了！                        如您的孩子有什么不适，欢迎家长朋友咨询！,0.239948802,0.21507009005486585,-9.864237569377982,二线城市,57.0,3249.0,4,0,1,0,0,0,1,0
30,主治医师,上海,0,4,0,0.239305031,0.2145507636301973,-6.8885977328733885,一线城市,0.0,0.0,2,1,0,0,1,0,0,0
31,主任医师 教授,北京,1,5,你若安好便是晴天                        当今社会一个家庭一般只有一个孩子，孩子的健康就意味着一个家庭的幸福和未来，职业赋予了我们一种责任，那就是尽我们所能，带给患儿健康和希望。因此，简单问题在网站上留言与我咨询，我会尽量给您当天回复，但是有时医院工作比较忙，也有时会回复不及时，...请您谅解！如果有家长比较着急可以预约电话咨询与我一对一沟通，我会尽量与您当天通话。                                        展开 >>,0.221111725,0.19976169380893846,-6.943005807334527,一线城市,240.0,57600.0,5,1,0,0,0,0,0,1
32,主治医师 讲师,武汉,1,0,0,0.204742137,0.18626554985172306,-10.097708035728196,二线城市,0.0,0.0,3,0,1,0,0,1,0,0
33,主治医师,深圳,1,0,一份激情，一份守候                        我从事儿科多年，对儿科的激情未曾减少，希望我的激情及专业知识能帮助更多的人！,0.199183057,0.18164053912071768,-10.097708035728196,一线城市,71.0,5041.0,2,1,0,0,1,0,0,0
34,副主任技师,重庆,0,0,0,0.197036198,0.17984866672010208,-9.136463704660642,二线城市,0.0,0.0,4,0,1,0,0,0,1,0
35,副主任医师,北京,1,0,0,0.196983957,0.1798050238126694,91.35968074198576,一线城市,0.0,0.0,4,1,0,0,0,0,1,0
36,主任医师 教授,广州,1,25,0,0.191590719,0.17528915313917914,-7.9093182899891294,一线城市,0.0,0.0,5,1,0,0,0,0,0,1
37,主任医师,北京,1,0,欢迎词                        欢迎来到我的网站！我将尽力为您提供儿童康复相关咨询服务！但需要您提供详尽的病史、目前状况、检查结果，最好有视频或数张照片。情况越明确，我的判断和建议将越准确、可靠，不然，请您找我看门诊。,0.18286273600000005,0.16793754783309114,-7.007867041842019,一线城市,120.0,14400.0,4,1,0,0,0,0,1,0
38,住院医师,咸阳,0,0,0,0.182650775,0.16775833854125524,-10.097708035728196,其他,0.0,0.0,0,0,0,0,0,0,0,0
39,副主任医师,深圳,1,3,欢迎新老病友咨询！                        虽然网站开通将近4年，但一直疏于管理，又由于门诊时间有限，不利于患者咨询，因此重新开通网站，为医患沟通提供一条便捷通道。欢迎新老患儿咨询。,0.182003097,0.16721053911583772,-4.026842196878127,一线城市,102.0,10404.0,4,1,0,0,0,0,1,0
40,主治医师 讲师,哈尔滨,0,2,雾化吸入及灌肠在大部分呼吸道患儿的广泛应用                        能用一些简单的方法治疗及治愈患儿尽可能降低不必要的吃药、打针等对患儿有损伤的治疗我们需要努力为患儿保驾护航,0.179039753,0.16470033854406171,-9.864237569377982,二线城市,98.0,9604.0,3,0,1,0,0,1,0,0
