,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5,T
0,0,0,0.0,-10.224714537424969,0.0,0.0,1,0,0,1,0,0,0,2
1,1,0,0.024188703646773533,-10.224714537425045,0.0,0.0,0,0,0,0,0,1,0,2
2,1,0,0.0,-9.752023766208413,0.0,0.0,0,1,0,0,0,1,0,2
3,1,1,0.00342049312267527,-9.515678380600121,0.0,0.0,1,0,0,0,0,1,0,2
4,1,1,0.006484678192835438,-5.7416920654878805,0.0,0.0,0,1,0,0,0,0,1,2
5,1,3,0.1299755680078651,47.57248603741518,249.0,62001.0,1,0,0,0,0,1,0,2
6,1,0,0.0,-9.752023766208406,0.0,0.0,0,0,0,0,0,1,0,2
7,1,0,0.03203046131822542,-6.293008606704276,0.0,0.0,1,0,0,0,0,1,0,2
8,0,0,0.0,-9.365498619611959,0.0,0.0,0,0,0,0,0,0,1,2
9,0,0,0.011469235343059006,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
10,1,0,0.039928628444081925,-7.238390149137404,0.0,0.0,1,0,0,0,0,0,1,2
11,1,0,0.00868781034276966,-8.555685204535203,0.0,0.0,0,1,0,0,0,0,1,2
12,0,3,0.2988463739101007,-10.22471453742497,47.0,2209.0,1,0,0,0,0,0,1,2
13,1,11,0.046676051706276485,-7.088210388149247,255.0,65025.0,0,1,0,0,0,1,0,2
14,1,4,0.011145717951261432,-9.27933299499184,42.0,1764.0,0,1,0,0,0,1,0,2
15,0,3,0.16914959319679881,-9.065139097635626,0.0,0.0,0,1,0,1,0,0,0,2
16,0,0,0.03721555318811327,-9.98836915181669,0.0,0.0,0,1,0,0,0,0,0,2
17,1,0,0.037207143398154265,-6.872044238013651,0.0,0.0,0,1,0,0,0,1,0,2
18,0,0,0.040718238837509114,-9.98836915181669,0.0,0.0,1,0,0,0,0,0,0,2
19,0,0,0.01639543231060727,-9.264721361360055,0.0,0.0,0,0,0,0,0,1,0,2
20,1,0,0.02529709847161813,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
21,0,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,0,0,2
22,0,0,0.02319715974355746,-10.22471453742497,0.0,0.0,0,1,0,1,0,0,0,2
23,1,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,1,0,2
24,1,0,0.03460979115400355,-6.364562597692612,0.0,0.0,1,0,0,0,0,1,0,2
25,1,0,0.19662885806529912,-8.333951452558704,0.0,0.0,0,0,0,0,0,0,1,2
26,1,1,0.04151486826304721,-4.279784850942822,42.0,1764.0,1,0,0,0,0,0,1,2
27,0,0,0.0,-9.98836915181669,0.0,0.0,1,0,0,0,0,1,0,2
28,1,0,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,1,0,2
29,1,0,0.0704423823118127,-7.1083896236219335,0.0,0.0,0,0,0,1,0,0,0,2
30,1,0,0.0470479465072742,-6.192231348452369,95.0,9025.0,0,1,0,0,0,1,0,2
31,1,0,0.009520431503547994,-9.838189390828527,0.0,0.0,0,0,0,0,0,1,0,2
32,0,0,0.01765221601412547,-9.129153234003676,0.0,0.0,0,1,0,1,0,0,0,2
33,1,6,0.028423193727813243,-9.515678380600121,0.0,0.0,1,0,0,0,0,0,1,2
34,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,1,0,0,0,2
35,1,1,0.021478313260187842,-9.365498619611959,0.0,0.0,0,1,0,1,0,0,0,2
36,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
37,0,0,0.06642824551411636,-9.98836915181669,0.0,0.0,0,1,0,0,0,0,0,2
38,1,0,0.05420524176840081,-9.98836915181669,0.0,0.0,1,0,0,0,0,1,0,2
39,1,0,0.06303944316436334,-5.776482934592353,0.0,0.0,0,0,0,0,0,1,0,2
40,1,0,0.21720167145191652,-10.22471453742497,0.0,0.0,0,1,0,0,1,0,0,2
41,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
42,1,0,0.08046233023674759,-9.515678380600121,0.0,0.0,1,0,0,0,0,0,1,2
43,1,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,1,0,2
44,1,0,0.03638460189307503,-9.515678380600121,0.0,0.0,0,1,0,0,0,1,0,2
45,1,0,0.1156301165456783,-9.752023766208406,0.0,0.0,0,1,0,0,1,0,0,2
46,0,0,0.0,-9.028375975751771,0.0,0.0,0,1,0,1,0,0,0,2
47,1,5,0.2650626807175087,-8.068382799686853,57.0,3249.0,0,1,0,0,0,0,1,2
48,1,2,0.05780156406955444,-10.22471453742497,106.0,11236.0,0,0,0,0,0,0,1,2
49,0,0,0.005489548574534514,-9.98836915181669,0.0,0.0,0,1,0,0,0,0,0,2
50,0,0,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
51,1,0,0.0329298181988482,-9.752023766208406,0.0,0.0,0,1,0,1,0,0,0,2
52,1,0,0.09140492115462596,-9.752023766208406,255.0,65025.0,0,1,0,0,0,1,0,2
53,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
54,0,0,0.18065339429387162,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
55,1,2,0.16341288758956454,-5.478095665395408,0.0,0.0,0,1,0,0,0,1,0,2
56,1,14,0.119532361395821,-1.3630422008642071,0.0,0.0,0,0,0,0,0,0,1,2
57,1,9,0.028438102432384232,-9.264721361360055,0.0,0.0,0,1,1,0,0,0,0,2
58,1,0,0.018845219052587053,-8.169160057938758,0.0,0.0,0,1,0,0,0,1,0,2
59,1,3,0.0389391280968262,3.5595032694671045,76.0,5776.0,1,0,0,0,0,1,0,2
60,0,0,0.00951186948887567,-9.98836915181669,97.0,9409.0,0,0,1,0,0,0,0,2
61,1,1,0.0,-8.491671068167163,0.0,0.0,0,0,0,0,0,1,0,2
62,0,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,1,2
63,1,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
64,1,0,0.01873385911181958,-9.752023766208406,0.0,0.0,0,1,0,0,0,1,0,2
65,1,5,0.1457180089598808,155.64663364696398,255.0,65025.0,1,0,0,0,0,1,0,2
66,1,0,0.03254943553980916,-9.98836915181669,0.0,0.0,0,1,0,1,0,0,0,2
67,1,0,0.022480179584109805,-8.555685204535203,0.0,0.0,1,0,0,0,0,1,0,2
68,1,3,0.025924206318288713,-9.98836915181669,0.0,0.0,0,0,0,0,0,0,0,2
69,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
70,1,0,0.10015061384992228,-9.98836915181669,0.0,0.0,0,0,0,0,0,0,1,2
71,1,0,0.04728917154359295,-9.27933299499184,0.0,0.0,0,0,0,0,0,0,1,2
72,1,0,0.0,-9.98836915181669,48.0,2304.0,0,0,0,0,0,1,0,2
73,0,0,0.04962250750991232,-6.635698852405366,79.0,6241.0,1,0,0,1,0,0,0,2
74,1,0,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,1,0,2
75,1,0,0.0,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,1,2
76,0,2,0.04191558624447954,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
77,1,12,0.07936829018092724,-9.838189390828527,0.0,0.0,0,1,0,1,0,0,0,2
78,1,0,0.1323361281236794,-9.129153234003676,0.0,0.0,1,0,0,0,0,1,0,2
79,1,18,0.1817639981783744,65.18275185999973,255.0,65025.0,1,0,0,0,0,1,0,2
80,0,4,0.2781424708176938,-6.987433129897339,0.0,0.0,1,0,0,1,0,0,0,2
81,1,0,0.09575271483284463,-10.22471453742497,0.0,0.0,0,0,0,0,0,1,0,2
82,0,0,0.0,-10.22471453742497,0.0,0.0,0,0,0,0,0,0,0,2
83,0,0,0.0,-10.22471453742497,0.0,0.0,1,0,0,0,0,0,0,2
84,0,0,0.0,-9.98836915181669,0.0,0.0,0,0,0,0,0,1,0,2
85,0,0,0.4302026925337991,-10.22471453742497,0.0,0.0,0,1,0,0,0,0,0,2
86,1,0,0.05674505109597904,-9.264721361360055,0.0,0.0,0,1,0,0,0,0,0,2
87,1,8,0.012381658987953839,-8.082994433318639,96.0,9216.0,0,1,0,0,1,0,0,2
