Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,IST
35,主治医师,儿童心理科,北京,0,0,"1,181",0,0,0,0,0,,0
85,副主任医师,儿童保健中心,淄博,1,260,"14,359",0,4,0,0,0,,0.000278571
90,副主任医师,儿童保健科,郑州,1,200,"14,926",0,0,2,0,0,,0
125,副主任医师,儿科,上海,1,0,"25,141",1,1,3,0,0,,3.97757E-05
151,主任医师 教授,小儿外科,西安,1,0,"13,543",1,1,13,3,1,,7.38389E-05
153,副主任医师,小儿心脏外科,北京,1,3195,"136,628",3,215,12,8,56,治病救人，医者仁心                        阜外心血管病医院是我国最大的心血管病诊治中心，外科年手术例数超过1万例。作为国家心脏中心，在中国心血管疾病的预防、治疗、科研和教学工作中发挥核心作用。    我院小儿外科中心是国内最大的先心病外科中心，年手术量3000例左右。各种先心病手...术成功率高。    希望在网上平台为更多患儿提供帮助！                                        展开 >>                 收起 <<,0.001573616
218,副主任医师,儿科,湖州,1,0,"7,620",0,0,2,0,0,,0
233,副主任医师,小儿心外科,上海,1,0,"31,928",0,12,16,1,0,,0.000375846
236,副主任医师 副教授,儿科,东营,0,0,"14,607",0,0,4,1,0,,0
237,副主任医师,儿科,忻州,0,0,"14,964",0,2,0,0,0,,0.000133654
275,主任医师 副教授,小儿外科,广州,1,0,"57,864",0,27,12,1,0,,0.000466611
280,副主任医师 副教授,新生儿科,长春,1,0,"10,037",0,1,3,0,1,,9.96314E-05
287,主任医师 副教授,儿科,深圳,0,260,"12,120",3,36,0,0,0,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.002970297
294,副主任医师,儿科,天津,1,1170,"185,492",11,102,12,2,0,关注脑瘫患儿，托起明天的太阳！                        脑性瘫痪过去曾被认为是“不治之症”，由于康复医学的发展给脑性瘫痪患儿的治疗带来了希望。但脑性瘫痪的治疗不适一种方法、一朝一夕的短期治疗就能解决的问题，而是一个需要发出人力、物力及长时间的综合治疗过程。不仅需要医生与家长的配合，而且需要全社会...的支持。宣传、普及脑性瘫痪的防治知识显得格外重要。        脑性瘫痪的病因是多方面的，但新生儿窒息、早产与核黄疸在我国许多地区目前仍是脑性瘫痪的主要致病原因。作为一个儿科医生，多年,0.000549889
304,主任医师,中医儿科,青岛,1,400,"116,002",4,15,4,0,0,欢迎词                        内病外治，舒心一贴，回归自然。,0.000129308
345,主治医师,小儿脑瘫康复治疗中心,郑州,0,780,"37,377",4,88,3,3,0,,0.002354389
359,住院医师,小儿外科,西安,0,0,"2,450",0,1,1,0,0,,0.000408163
383,主任医师,儿科,杭州,1,580,"68,974",0,29,2,0,3,,0.000420448
386,主治医师,小儿泌尿外科,上海,0,290,"14,955",0,7,1,0,0,,0.000468071
411,副主任医师,小儿外科,四平,0,220,"10,717",0,2,0,0,1,,0.000186619
424,副主任医师,儿科,成都,1,260,"13,647",0,4,0,0,0,,0.000293105
447,住院医师,儿科,莱芜,0,0,"3,058",0,0,1,0,0,,0
491,主治医师,儿科,济南,0,5,"3,840",0,1,1,1,0,,0.000260417
559,副主任医师,儿童保健科,长沙,1,200,"6,950",0,0,0,0,0,,0
681,副主任医师,儿科,北京,1,35,"69,561",0,28,11,2,1,,0.000402524
694,主任医师 教授,小儿外科,淄博,1,30,"1,306",0,3,8,0,0,,0.00229709
759,主任医师 教授,小儿血液内科,北京,1,880,"78,984",1,38,7,3,4,我的愿望                        愿所有的患儿得到最好的治疗！,0.00048111
765,副主任医师,新生儿内科,深圳,0,0,"1,947",0,0,1,0,0,,0
808,副主任医师,新生儿科,上海,1,0,"1,040",0,0,0,0,0,,0
811,主治医师,小儿外科,安阳,1,540,"24,008",0,20,1,0,3,,0.000833056
827,副主任医师,儿科,西安,1,620,"79,220",0,43,13,0,1,欢迎词                        +有问题尽量到门诊就诊 看到孩子结合临床及必要的检验才能做出较明确的诊断及准确的治疗 尤其是小儿腹泻原因不同 治疗方法也不同 谢谢理解！,0.000542792
