,医生有无简介,总文章数,log(IST),患者满意度,欢迎词字数,字数平方,city_一线城市,city_二线城市,profession_1,profession_2,profession_3,profession_4,profession_5
1,0.2687224669603524,-2.682819383259912,0.0005358820173229847,-8.63709215470643,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,0.986784140969163,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
3,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-9.63076710302777,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
5,0.2687224669603524,-1.682819383259912,-0.05489323005424905,-5.661452318201879,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
12,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-8.436052305610005,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
14,0.2687224669603524,8.317180616740089,-0.021417932494042474,-7.002798890254982,221.04625550660793,59046.953744493396,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
15,0.2687224669603524,1.317180616740088,-0.05111741110513051,-9.163826170327345,8.046255506607928,-4214.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
16,-0.7312775330396476,0.3171806167400879,0.08056093580580034,-8.957401312771568,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
17,-0.7312775330396476,-2.682819383259912,-0.026926209112994016,-9.864237569377986,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
18,0.2687224669603524,-2.682819383259912,-0.029191071039642698,-6.747034109825111,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
21,0.2687224669603524,-2.682819383259912,-0.039176248990442475,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
23,-0.7312775330396476,-2.682819383259912,-0.04036979808169966,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
24,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
31,0.2687224669603524,-2.682819383259912,-0.020885227358067686,-6.101347642107864,61.04625550660793,3046.953744493392,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
33,-0.7312775330396476,-2.682819383259912,-0.04540638700989958,-9.017194395692016,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
36,-0.7312775330396476,-1.682819383259912,-0.048318880703292925,-9.250664862042228,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
37,-0.7312775330396476,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
38,-0.7312775330396476,-2.682819383259912,-0.003351453153169731,-9.864237569377986,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
41,0.2687224669603524,-2.682819383259912,0.12598233869428732,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,0.9493392070484582,-0.33480176211453744,-0.2533039647577093
45,0.2687224669603524,-2.682819383259912,-0.028569091232272623,-9.39729663667756,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
46,0.2687224669603524,-2.682819383259912,0.0372222258479905,-9.864237569377986,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,0.9493392070484582,-0.33480176211453744,-0.2533039647577093
47,-0.7312775330396476,-2.682819383259912,-0.060283204778446155,-8.90299323831043,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
48,0.2687224669603524,2.317180616740088,0.16219729035995145,-7.941748907242876,23.046255506607928,-2729.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
50,-0.7312775330396476,-2.682819383259912,-0.05577361272949325,-9.864237569377986,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
52,0.2687224669603524,-2.682819383259912,-0.041452366215303585,-9.63076710302777,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
53,0.2687224669603524,-2.682819383259912,0.019500923743078553,-9.63076710302777,221.04625550660793,59046.953744493396,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
56,0.2687224669603524,-0.6828193832599121,0.07958158053614861,-5.422596843392359,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
58,0.2687224669603524,6.317180616740088,-0.0363405113479068,-9.136463704660647,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,0.986784140969163,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
59,0.2687224669603524,-2.682819383259912,-0.04472393410469633,-8.055950064624462,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
63,-0.7312775330396476,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
64,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
65,0.2687224669603524,-2.682819383259912,-0.04465431672106573,-9.63076710302777,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,0.6651982378854626,-0.2533039647577093
67,0.2687224669603524,-2.682819383259912,-0.03226550399897389,-9.864237569377986,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
76,0.2687224669603524,-2.682819383259912,-0.060283204778446155,-10.097708035728198,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,-0.22687224669603523,-0.05066079295154185,-0.33480176211453744,0.7466960352422907
78,0.2687224669603524,9.317180616740089,0.006708924413386892,-9.717605794742653,-33.95374449339207,-5978.046255506608,-0.28854625550660795,0.5462555066079295,-0.013215859030837005,0.7731277533039648,-0.05066079295154185,-0.33480176211453744,-0.2533039647577093
