,医生职称,医生所在城市,医生有无简介,总文章数,患者投票数,感谢信数,心意礼物数,医生欢迎词,IST0_1erke
0,主治医师,北京,1,0,0,0,1,儿童强，中国强！                        儿科大夫的使命：让每个儿童拥有良好的开端，美好的未来！,1.0
1,主治医师,成都,0,5,1,1,0,专业有爱的儿科医生                        作为一位女儿的爸爸，我深深地理解每一位家长在孩子生病后的心情，上班时间没有没有沟通到位的，我会利用闲暇时间在网上答疑。当然，医学博大精深，也有许多我解决不了的问题，但我一定能给你正确的引导。,0.9946027470000001
2,住院医师,青岛,0,12,0,2,2,山东大学齐鲁医院（青岛）儿外科竭诚为每一位患儿服务...                        山东大学齐鲁医院（青岛）小儿外科竭诚为每一位患儿服务。您的提问我会在2个工作日内回复，如因假期、值班等延误，敬请见谅。,0.779988817
3,主任医师,济南,1,1,10,1,0,,0.682372168
4,副主任医师,北京,1,0,1,0,0,,0.613790149
5,副主任医师,青岛,1,11,2,0,0,,0.568266256
6,住院医师,青岛,0,0,0,0,0,,0.540954998
7,副主任医师,成都,0,0,0,0,0,,0.48574005299999995
8,副主任医师 副教授,济南,1,0,4,0,0,,0.485732053
9,住院医师,广州,0,0,0,0,0,,0.46153179200000005
10,住院医师,上海,1,0,0,0,0,,0.43844526100000003
11,副主任医师 副教授,武汉,1,0,1,1,0,,0.437592721
12,主任医师 教授,重庆,1,0,2,0,0,,0.410072516
13,副主任医师,石家庄,1,5,0,0,0,秉承业精于勤之古训，服务于广大患儿。                        愿小朋友们健康、快乐地成长。,0.398918247
14,住院医师,上海,1,0,6,0,0,,0.38639642700000004
15,主治医师,北京,1,0,1,0,0,,0.34873744
16,住院医师,广州,1,1,0,1,1,,0.344252399
17,主治医师,日照,0,3,0,0,0,,0.340624851
18,主任医师 副教授,深圳,0,3,0,0,0,欢迎进入我的个人网站！                        为了孩子，我们一起努力！,0.32522038600000003
19,副主任医师,上海,0,0,1,0,0,,0.320705501
20,副主任医师 副教授,成都,1,0,15,3,0,,0.31653213399999997
21,主治医师,北京,1,0,4,3,1,,0.304873121
22,主治医师,安庆,0,0,0,0,0,健康童年                        希望能给家长朋友们一些帮助，有关小儿疝气，包茎，隐睾，肠套叠，先天性巨结肠，先天性胆总管囊肿等方面的问题，可以留言咨询。,0.299936002
23,副主任医师 副教授,成都,1,0,4,2,2,,0.287249981
24,副主任医师,娄底,1,0,0,0,0,解答婴幼儿医疗疑问                        很感谢好大夫在线为我建立个人网站，能更好与婴幼儿的家长沟通，在培育宝宝的生活中会遇到不少问题，我们可以共同探讨，我是一个照料孙宝宝的医生奶奶，结合近四十年的医疗经验能为大家解决一些疑问，我会很高兴。因时间关系，上网和回答问题会不及时，请原谅...！                                        展开 >>                 收起 <<,0.278123949
25,主任医师,黄冈,1,3,3,0,0,,0.274004227
26,副主任医师,温州,1,0,2,0,0,欢迎词                        让我们一起关注儿童健康事业！,0.272318526
27,副主任医师,福州,1,5,1,0,2,欢迎词                        希望能帮助到更多孩子解决生长发育的问题，成就孩子梦想的高度。,0.24917143
