Id,医生职称,医生科室,医生所在城市,医生有无简介,医生在线活动量,医生个人网站总访问量,总文章数,总患者数,患者投票数,感谢信数,心意礼物数,医生欢迎词,Mark(不要使用该列)
1,副主任医师,脑病外科,广州,1,0,"3,653",0,0,11,1,0,,31
2,副主任医师,心血管科,上海,1,0,"18,014",0,2,1,1,1,,40
3,住院医师,心脏外科中心,北京,1,205,"3,657",0,1,0,0,1,欢迎咨询                        全身心为患者服务！,44
4,主治医师,手外科,武汉,0,10,"1,671",0,2,2,0,0,,70
5,副主任医师,骨伤科,嘉兴,1,200,"9,492",0,0,5,0,0,,91
6,住院医师 讲师,中医科,广州,1,0,"1,460",2,0,0,0,0,,138
7,主治医师,妇产科,中山,0,215,"11,550",0,3,0,0,0,,142
8,主治医师 讲师,心胸外科,郑州,1,0,"1,872",0,0,0,0,0,,150
9,主任医师 教授,大肠泌尿肿瘤外科,杭州,1,40,"25,614",1,7,13,2,1,,163
10,主任医师 副教授,普外科,南京,1,0,"1,688",0,0,11,1,0,,194
11,副主任医师,肿瘤内科,郑州,1,390,"182,449",15,124,1,0,0,延长生命，提高生存质量                        通过最佳的治疗和预防，全面改善肿瘤患者生存！这是我们的责任和义务，但需要您的重视与关心！,219
12,主治医师,肿瘤科,滨州,1,1735,"102,349",4,281,0,0,0,,232
13,主治医师,消化内科,宁波,0,0,"16,926",0,1,1,0,1,平安健康                        愿所有的人都能平安和健康！,234
14,副主任医师,眼科,佛山,1,75,"2,887",1,14,1,0,0,糖尿病病友您今年检查眼底了吗？                        糖尿病病友坚持眼睛要“年检”，也就是说每年检查一次眼底。,270
15,副主任医师,生殖医学中心,南宁,1,735,"59,873",9,47,1,0,4,欢迎词                        你的信任是我真诚付出的动力，希望我能在你的人生征途中能稍稍帮上你的一个忙。,277
16,主任医师 教授,泌尿外科,湛江,1,3505,"243,221",14,229,9,0,1,欢迎来电咨询或网上咨询                        泌尿疾病绝大部份可微创手术治疗或中药治疗的，希望我们的团队能帮助您战胜病魔，早日康复。请记住我们的团队名称:腔镜中心(微创泌尿外科专业）。如来门诊可周一全天，其他时间为每天早上九点前到病房。因病床安排需要，请外地需住院的病友来前一天来电预约...。                                        展开 >>                 收起 <<,341
17,副主任医师 副教授,皮肤性病科,北京,1,530,"134,015",3,108,6,1,1,,380
18,主任医师 副教授,普外科,上海,1,0,"8,297",0,0,1,0,1,,394
19,副主任医师,肝胆胰外科,青岛,1,0,"8,615",0,1,5,0,0,,418
20,副主任医师,肾脏病风湿免疫科,郑州,0,0,"8,886",1,1,2,0,0,,452
21,主治医师,神经内科,上海,0,35,"5,315",0,6,7,1,0,,508
22,副主任医师,普通外科,北京,1,300,"42,872",2,23,0,0,0,欢迎您访问个人网站                        感谢您对访问个人网站，您的信任将使我们合作愉快，能够为您解决困难是我们最大的荣幸。我们的工作宗旨：严谨 求实 耐心 认真,524
23,住院医师,针推科（预防保健科）,潍坊,0,0,"1,764",0,0,0,0,0,,545
24,住院医师,消化内科,中山,1,550,"45,329",3,59,0,0,1,,550
25,副主任医师,心胸外科,广州,1,0,"16,092",0,0,1,0,0,,551
26,主任医师 教授,胃肠外科,上海,1,955,"141,886",7,120,42,9,4,,623
27,主治医师,神经内科,安庆,0,0,497,0,0,0,0,0,,640
28,副主任医师 副教授,心胸外科,徐州,1,0,"5,787",0,0,0,0,1,,641
29,主治医师,妇女保健科,淄博,1,360,"389,587",12,63,1,0,2,,669
30,主治医师,血管外科,威海,1,235,"13,114",2,4,5,1,0,威海地区第一个独立的血管外科                        威海地区第一个将周围血管疾病专业独立的科室，第一个能行杂交手术的科室,678
31,主任医师 教授,血液内科,上海,1,1995,"104,774",5,196,4,2,1,难治性血液肿瘤的治疗                        血液肿瘤难治和复发是血液肿瘤病友获得长期生存乃至治愈的主要障碍。我科在我本人的带领下采用了一些新的治疗方法，使得许多难治、复发血液肿瘤患者获得较好的疗效。期盼我的新疗法为更多难治血液肿瘤病友造福。,686
32,主任医师,骨科,上海,1,1636,"147,252",5,143,3,0,1,为您解忧我快乐                        手足是人类进步发展最重要的器官，人类所有的思想智慧都需要通过手足来实现。手足的伤病或许很难危及人的生命，但却对您的生活、工作及社会活动带来不便及困扰。我很荣耀选择了手足外科专业，并竭力在专业领域努力耕耘。    希望我们的网上交流能带来您...和我都期望的帮助。                                        展开 >>                 收起 <<,732
33,副主任医师 讲师,肿瘤科,开封,1,0,"8,341",0,0,0,0,0,,798
34,副主任医师 副教授,消化内科,银川,1,0,"22,977",0,4,5,1,0,,803
35,主治医师,儿童心理科,北京,0,0,781,0,0,0,0,0,,833
36,主治医师,肝胆胰外科,上海,0,200,"7,954",0,0,1,0,0,,834
37,副主任医师,肛肠科,吕梁,1,256,"25,443",2,4,1,0,0,欢迎词                        大家好！ 欢迎咨询13037098111 。医生以患者的康复为快乐，也祝大家健康快乐 ！乐意为您服务  欢迎患者对我们的工作提出宝贵建议，我将会带领全科人员不断改进工作，以便更好的为患者服务。,854
38,副主任医师,精神科,营口,1,0,708,0,0,1,0,0,,859
39,主治医师,普通外科,宝鸡,0,1025,"122,679",20,55,3,1,2,欢迎您的浏览                        欢迎您浏览我的网站，如果有问题需要咨询，可拨打宝鸡中心医院普外科联系电话0917-3397465,861
40,副主任医师,口腔正畸科,青岛,1,0,"7,889",0,0,0,0,0,,913
41,主治医师,内分泌科,天津,0,0,"1,621",0,0,0,0,0,,977
42,主治医师,普外科,北京,1,0,"16,985",0,1,2,0,1,,1042
43,主治医师,麻醉科,鹤岗,0,200,"8,194",0,0,0,0,0,,1044
44,副主任医师 副教授,肿瘤内科,上海,1,40,591,0,3,0,0,0,,1095
45,住院医师,放射科,张家口,1,200,"7,205",0,0,0,0,0,,1099
46,住院医师,功能神经外科,北京,1,215,"8,853",1,4,3,1,0,4-11世界帕金森病日主题活动                        首都医科大学宣武医院功能神经外科2014“世界帕金森病日”主题系列活动活动一：宣武医院“帕金森病”义诊活动在4月11日“世界帕金森病日”到来之时，首都医科大学宣武医院将举办公益义诊活动，功能神经外科专家将为帕金森病患者或疑似帕金...森病患者做免费诊疗、解答咨询及帕金森病人日常生活中的护理指导等。活动时间：2014年4月12日上午 8:00-12:00活动地点：宣武医院门诊三楼 功能神经外科门诊咨询电话：010-83198882,1110
